Дата,№,Обязательное действие,Готово (да/нет),Комментарий
2026-08-17,1,Включить Инфопредприятие → интерфейс кассира,,
2026-08-17,2,Пересчитать деньги в кассе,,
2026-08-17,3,Перепроверить чеки: сумма на чеках = сумма в программе,,
2026-08-17,4,Отдать проверенные чеки бухгалтеру,,
2026-08-17,5,"Инфопредприятие → Платежные документы → Оплата покупателем по эквайрингу: с АВТО на Д/Р (Доходы от реализации «Д» → Розничный покупатель «Р»)",,
2026-08-17,6,"Инфопредприятие → Платежные документы → Поступление в кассу: с АВТО на Д/Р (Доходы от реализации «Д» → Розничный покупатель «Р»)",,
2026-08-17,7,Сверить остаток в программе и в магазине,,
,,,,
Как пользоваться,,"Каждый день: поставь дату, отметь «да» в колонке Готово. Если что-то не сделала — напиши почему в Комментарий.",,
Правило Nova 2.0,,"Только то, что помогает здесь и сейчас. Красота вторична.",,
